"nest_id","maleplumage","ring_female","cc_female","season","fate","base_date","attempt","laying_date","layingday"
"LSP1718001","black-white","UFVCAF000014","al db ye db","2017_18",0,"01/11/2017",1,"24/12/2017",54
"LSP1718003","black-white","UFVCAF000008","al og db wh","2017_18",0,"01/11/2017",1,"18/12/2017",48
"LSP1718007","black-white","UFVCAF000004","al og lg og","2017_18",1,"01/11/2017",1,"24/12/2017",54
"LSP1718015","black-white","UFVCAF000008","al lg db wh","2017_18",1,"01/11/2017",1,"10/01/2018",71
"LSP1718036","black-white","UFVCAF000077","al ye lg lg","2017_18",0,"01/11/2017",1,"28/01/2018",89
"LSP1718040","black-white","UFVCAF000062","al db lg lg","2017_18",0,"01/11/2017",1,"01/02/2018",93
"LSP1819001","black-white","UFVCAF000281","al db dg lg","2018_19",0,"01/11/2018",1,"15/12/2018",45
"LSP1819002","black-white","UFVCAF000181","al lb ye ye","2018_19",1,"01/11/2018",1,"14/12/2018",44
"LSP1819011","black-white","UFVCAF000249","al wh og og","2018_19",1,"01/11/2018",1,"17/12/2018",47
"LSP1819018","black-white","UFVCAF000073","al ye lg db","2018_19",1,"01/11/2018",1,"18/12/2018",48
"LSP1819031","black-white","UFVCAF000172","al bl wh wh","2018_19",0,"01/11/2018",1,"24/12/2018",54
"LSP1819032","brown","UFVCAF000195","al dg ye wh","2018_19",0,"01/11/2018",1,"02/01/2019",63
"LSP1819040","brown","UFVCAF000260","al pu og dg","2018_19",0,"01/11/2018",1,"12/01/2019",73
"LSP1819059","black-white","UFVCAF000258","al pu og og","2018_19",0,"01/11/2018",1,"17/01/2019",78
"LSP1819068","black-white","UFVCAF000237","al dg og og ","2018_19",0,"01/11/2018",1,"16/01/2019",77
"LSP1819077","black-white","UFVCAF000070","al ye dg dg","2018_19",0,"01/11/2018",1,"23/01/2019",84
"LSP1819085","black-white","UFVCAF000202","al bl db ye","2018_19",0,"01/11/2018",1,"30/01/2019",91
"LSP1920002","black-white","UFVCAF000324","al re dg bl","2019_20",1,"01/11/2019",1,"24/12/2019",54
"LSP1920003","black-white","UFVCAF000280","al re wh db","2019_20",0,"01/11/2019",1,"24/12/2019",54
"LSP1920004","black-white","UFVCAF000347","al bl ye ye","2019_20",0,"01/11/2019",1,"30/12/2019",60
"LSP1920007","black-white","UFVCAF000348","al db wh ye","2019_20",0,"01/11/2019",1,"23/12/2019",53
"LSP1920009","black-white","UFVCAF000334","al bl dg re","2019_20",0,"01/11/2019",1,"26/12/2019",56
"LSP1920010","black-white","UFVCAF000329","al bl bl og","2019_20",0,"01/11/2019",1,"26/12/2019",56
"LSP1920011","black-white","UFVCAF000281","al db db lg","2019_20",0,"01/11/2019",1,"25/12/2019",55
"LSP1920012","black-white","UFVCAF000742","al dg wh re","2019_20",0,"01/11/2019",1,"27/12/2019",57
"LSP1920013","black-white","UFVCAF000322","al bl wh og","2019_20",0,"01/11/2019",1,"23/12/2019",53
"LSP1920014","black-white","UFVCAF000201","al re re ye","2019_20",1,"01/11/2019",1,"26/12/2019",56
"LSP1920016","black-white","UFVCAF000041","al db ye pi","2019_20",1,"01/11/2019",1,"30/12/2019",60
"LSP1920017","black-white","UFVCAF000328","al re og wh","2019_20",0,"01/11/2019",1,"19/12/2019",49
"LSP1920018","black-white","UFVCAF000270","al pu pu pi","2019_20",1,"01/11/2019",1,"25/12/2019",55
"LSP1920019","black-white","UFVCAF000336","al bl re dg","2019_20",1,"01/11/2019",1,"03/01/2020",64
"LSP1920020","black-white","UFVCAF000317","al re bl og","2019_20",0,"01/11/2019",1,"28/12/2019",58
"LSP1920022","black-white","UFVCAF000280","al re wh dg","2019_20",0,"01/11/2019",1,"03/01/2020",64
"LSP1920025","black-white","UFVCAF000747","al re dg db","2019_20",0,"01/11/2019",1,"05/01/2020",66
"LSP1920029","black-white","UFVCAF000749","al re re db","2019_20",0,"01/11/2019",1,"03/01/2020",64
"LSP1920031","brown","UFVCAF000719","al bl bl wh","2019_20",0,"01/11/2019",1,"09/01/2020",70
"LSP1920032","black-white","UFVCAF000288","al pu ye ye","2019_20",0,"01/11/2019",1,"04/01/2020",65
"LSP1920038","black-white","UFVCAF000075","al ye lg wh","2019_20",0,"01/11/2019",1,"10/01/2020",71
"LSP1920040","black-white","UFVCAF000718","al bl db bl","2019_20",1,"01/11/2019",1,"11/01/2020",72
"LSP1920042","black-white","UFVCAF000732","al re db re","2019_20",1,"01/11/2019",1,"07/01/2020",68
"LSP1920048","black-white","UFVCAF000714","al og bl wh","2019_20",0,"01/11/2019",1,"19/01/2020",80
"LSP1920055","brown","UFVCAF000745","al re re og","2019_20",0,"01/11/2019",1,"17/01/2020",78
"LSP1920056","black-white","UFVCAF000787","al re og bl","2019_20",1,"01/11/2019",1,"19/01/2020",80
"LSP1920064","black-white","UFVCAF000738","al re db wh","2019_20",0,"01/11/2019",1,"23/01/2020",84
"LSP1920069","black-white","UFVCAF000120","al pi db ye","2019_20",0,"01/11/2019",1,"29/01/2020",90
"LSP1920072","black-white","UFVCAF000779","al re bl re","2019_20",0,"01/11/2019",1,"29/01/2020",90
"LSP2021002","black-white","UFVCAF000565","ye wh ye al","2020-21",0,"01/11/2020",1,"20/12/2020",50
"LSP2021006","black-white","UFVCAF000347","al bl ye ye","2020-21",0,"01/11/2020",1,"19/12/2020",49
"LSP2021009","black-white","UFVCAF000342","al bl dg dg","2020-21",0,"01/11/2020",1,"24/12/2020",54
"LSP2021021","black-white","UFVCAF000363","ye ye ye al","2020-21",0,"01/11/2020",1,"23/12/2020",53
"LSP2021023","black-white","UFVCAF000566","dg ye dg al","2020-21",0,"01/11/2020",1,"28/12/2020",58
"LSP2021026","black-white","UFVCAF000570","db db og al","2020-21",0,"01/11/2020",1,"03/01/2021",64
"LSP2021034","black-white","UFVCAF000745","al re re og","2020-21",0,"01/11/2020",1,"09/01/2021",70
"LSP2021049","black-white","UFVCAF000514","wh bl og al","2020-21",1,"01/11/2020",1,"21/01/2021",82
"LSP2022030","black-white","UFVCAF000404","pu al db db","2021-22",0,"01/11/2021",1,"27/12/2021",57
"LSP2122001","black-white","UFVCAF000051","al wh db pi","2021-22",0,"01/11/2021",1,"10/12/2021",40
"LSP2122002","black-white","UFVCAF000841","bl al bl pi","2021-22",0,"01/11/2021",1,"15/12/2021",45
"LSP2122003","black-white","UFVCAF000210","al db dg dg","2021-22",1,"01/11/2021",1,"09/12/2021",39
"LSP2122008","black-white","UFVCAF672","ye al dg dg","2021-22",0,"01/11/2021",1,"17/12/2021",47
"LSP2122012","black-white","UFVCAF000441","re al re pu","2021-22",1,"01/11/2021",1,"16/12/2021",46
"LSP2122014","black-white","ufvcaf000840","pu al db pu","2021-22",1,"01/11/2021",1,"18/12/2021",48
"LSP2122015","black-white","UFVCAF000444","re al ye pi","2021-22",0,"01/11/2021",1,"19/12/2021",49
"LSP2122017","black-white","UFVCAF000401","pu al db ye","2021-22",0,"01/11/2021",1,"19/12/2021",49
"LSP2122020","black-white","UFVCAF000525","ye ye og al","2021-22",0,"01/11/2021",1,"24/12/2021",54
"LSP2122021","black-white","ufvcaf000675","pu al pu bl","2021-22",1,"01/11/2021",1,"22/12/2021",52
"LSP2122025","brown","UFVCAF000273","al re pu pu","2021-22",0,"01/11/2021",1,"24/12/2021",54
"LSP2122027","black-white","UFVCAF000669","bl al bl ye","2021-22",0,"01/11/2021",1,"21/12/2021",51
"LSP2122048","black-white","UFVCAF000429","ye al pu bl","2021-22",0,"01/11/2021",1,"16/01/2022",77
"LSP2122059","black-white","UFVCAF000495","ye al pi dg","2021-22",0,"01/11/2021",1,"14/01/2022",75
"LSP2122067","black-white","UFVCAF000655","pu al db bl","2021-22",0,"01/11/2021",1,"19/01/2022",80
"LSP2122070","black-white","UFVCAF000803","pi al ye ye","2021-22",0,"01/11/2021",1,"22/01/2022",83
"LSP2122071","black-white","UFVCAF000428","ye al re wh","2021-22",0,"01/11/2021",1,"23/01/2022",84
"LSP2122073","brown","UFVCAF000659","ye al ye db","2021-22",0,"01/11/2021",1,"23/01/2022",84
"LSP2122080","brown","UFVCAF000656","ye al bl wh","2021-22",0,"01/11/2021",1,"21/01/2022",82
"LSP2122081","brown","UFVCAF000510","wh re og al","2021-22",0,"01/11/2021",1,"23/01/2022",84
"LSP2122082","brown","UFVCAF000660","pu al pu og","2021-22",0,"01/11/2021",1,"24/01/2022",85
"LSP2122085","black-white","UFVCAF000811","wh og og al","2021-22",1,"01/11/2021",1,"29/01/2022",90
"LSP2223006","black-white","UFVCAF000441","RE AL RE PU","2022-23",1,"01/11/2022",1,"18/12/2022",48
"LSP2223007","black-white","UFVCAF000605","OG AL PU YE","2022-23",0,"01/11/2022",1,"23/12/2022",53
"LSP2223012","black-white","UFVCAF1399","DG AL BL RE","2022-23",1,"01/11/2022",1,"22/12/2022",52
"LSP2223016","black-white","UFVCAF1389","OG AL RE RE","2022-23",0,"01/11/2022",1,"24/12/2022",54
"LSP2223022","brown","UFVCAF1301","OG AL BL BL","2022-23",0,"01/11/2022",1,"03/01/2023",64
"LSP2223024","brown","UFVCAF1305","OG AL WH OG","2022-23",0,"01/11/2022",1,"08/01/2023",69
"LSP2223032","black-white","UFVCAF000465","RE AL PU PU","2022-23",1,"01/11/2022",1,"24/01/2023",85
"LSP2223038","black-white","UFVCAF1394","OG AL PI DG","2022-23",0,"01/11/2022",1,"22/01/2023",83
"LSP2223040","black-white","UFVCAF1313","OG AL PU PU","2022-23",0,"01/11/2022",1,"21/01/2023",82
"LSP2223060","black-white","UFVCAF000456","DG AL DG DG","2022-23",0,"01/11/2022",1,"03/02/2023",95
